iter	Passed	Remaining
1286	12019	6658
1287	12028	6649
1288	12037	6639
1289	12046	6630
1290	12056	6621
1291	12065	6611
1292	12075	6602
1293	12084	6593
1294	12093	6583
1295	12103	6574
1296	12112	6565
1297	12121	6555
1298	12130	6546
1299	12140	6536
1300	12149	6527
1301	12158	6518
1302	12167	6508
1303	12177	6499
1304	12186	6489
1305	12195	6480
1306	12203	6470
1307	12213	6461
1308	12223	6452
1309	12232	6443
1310	12242	6433
1311	12251	6424
1312	12260	6414
1313	12269	6405
1314	12278	6396
1315	12288	6386
1316	12297	6377
1317	12305	6367
1318	12315	6358
1319	12324	6348
1320	12333	6339
1321	12342	6330
1322	12351	6320
1323	12360	6311
1324	12370	6301
1325	12379	6292
1326	12388	6282
1327	12397	6273
1328	12407	6264
1329	12417	6255
1330	12425	6245
1331	12434	6236
1332	12443	6226
1333	12452	6216
1334	12461	6207
1335	12471	6198
1336	12480	6188
1337	12489	6179
1338	12499	6170
1339	12508	6160
1340	12517	6151
1341	12527	6142
1342	12536	6132
1343	12545	6123
1344	12554	6113
1345	12563	6104
1346	12573	6095
1347	12582	6085
1348	12591	6076
1349	12601	6067
1350	12611	6058
1351	12620	6048
1352	12629	6039
1353	12638	6030
1354	12648	6020
1355	12657	6011
1356	12666	6002
1357	12676	5992
1358	12685	5983
1359	12694	5974
1360	12704	5964
1361	12713	5955
1362	12722	5945
1363	12731	5936
1364	12740	5926
1365	12749	5917
1366	12757	5907
1367	12766	5898
1368	12776	5888
1369	12785	5879
1370	12794	5870
1371	12803	5860
1372	12813	5851
1373	12822	5841
1374	12831	5832
1375	12840	5822
1376	12849	5813
1377	12859	5804
1378	12868	5795
1379	12877	5785
1380	12887	5776
1381	12896	5767
1382	12905	5757
1383	12914	5748
1384	12924	5738
1385	12933	5729
1386	12942	5720
1387	12951	5710
1388	12960	5701
1389	12969	5691
1390	12978	5682
1391	12987	5672
1392	12996	5663
1393	13006	5654
1394	13014	5644
1395	13024	5635
1396	13033	5625
1397	13042	5616
1398	13051	5606
1399	13061	5597
1400	13069	5588
